2019-03-02 02:01:52,912 [I] 	(at main.py:29) 
2019-03-02 02:01:55,896 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/2/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:01:55,897 [D] -:F:n:WD_1:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:55,907 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/2/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:01:55,907 [D] ┌:F:n:WD_2:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:55,907 [D] └:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,918 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/2/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:01:55,918 [D] ┌:F:n:WD_3:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:55,918 [D] |:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,918 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,918 [D]  : : :pass:wc.c:6	(at logger.py:129) 
2019-03-02 02:01:55,918 [D]  : : :pass:wc.c:5	(at logger.py:129) 
2019-03-02 02:01:55,930 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/2/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:01:55,930 [D] -:F:n:WD_1:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,943 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/2/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:01:55,943 [D] ┌:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,943 [D] └:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,943 [D] ┌:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,943 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,952 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/2/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:01:55,952 [D] -:F:n:WD_1:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,953 [D] -:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,953 [D] -:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,953 [D]  : : :pass:wc.c:2	(at logger.py:129) 
2019-03-02 02:01:55,953 [D]  : : :pass:wc.c:1	(at logger.py:129) 
2019-03-02 02:01:55,953 [D] comp_cached_cnt:4	(at logger.py:134) 
2019-03-02 02:01:55,953 [D] compile_cnt:13	(at logger.py:134) 
2019-03-02 02:01:55,953 [D] execute_cnt:0	(at logger.py:134) 
2019-03-02 02:01:55,953 [D] fail_del_cnt:2	(at logger.py:134) 
2019-03-02 02:01:55,953 [D] iter_idx:4	(at logger.py:134) 
2019-03-02 02:01:55,953 [D] reuse_cnt:3	(at logger.py:134) 
2019-03-02 02:01:55,953 [D] succ_del_cnt:1	(at logger.py:134) 
2019-03-02 02:01:55,953 [D] time:0.21398591995239258	(at logger.py:134) 
2019-03-02 02:01:55,953 [D] deletion:43	(at logger.py:136) 
2019-03-02 02:01:55,954 [I] Iteration 4 finished	(at orbs.py:87) 
2019-03-02 02:01:55,954 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:55,966 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/2/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:01:55,966 [D] ┌:F:n:WD_2:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:55,967 [D] └:F:n:WD_2:wc.c:12	(at logger.py:129) 
2019-03-02 02:01:55,980 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/2/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:01:55,980 [D] ┌:F:n:WD_3:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:55,980 [D] |:F:n:WD_3:wc.c:12	(at logger.py:129) 
2019-03-02 02:01:55,980 [D] └:F:n:WD_3:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:55,980 [D]  : : :pass:wc.c:47	(at logger.py:129) 
2019-03-02 02:01:55,980 [D]  : : :pass:wc.c:46	(at logger.py:129) 
2019-03-02 02:01:55,980 [D]  : : :pass:wc.c:45	(at logger.py:129) 
2019-03-02 02:01:55,980 [D]  : : :pass:wc.c:44	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:43	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:42	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:41	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:40	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:39	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:38	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:37	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:36	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:35	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:33	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:32	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:31	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:30	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:29	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:28	(at logger.py:129) 
2019-03-02 02:01:55,981 [D]  : : :pass:wc.c:27	(at logger.py:129) 
2019-03-02 02:01:55,982 [D]  : : :pass:wc.c:26	(at logger.py:129) 
2019-03-02 02:01:55,982 [D]  : : :pass:wc.c:25	(at logger.py:129) 
2019-03-02 02:01:55,982 [D]  : : :pass:wc.c:24	(at logger.py:129) 
2019-03-02 02:01:55,982 [D]  : : :pass:wc.c:23	(at logger.py:129) 
2019-03-02 02:01:55,982 [D]  : : :pass:wc.c:22	(at logger.py:129) 
2019-03-02 02:01:55,982 [D]  : : :pass:wc.c:21	(at logger.py:129) 
2019-03-02 02:01:55,982 [D]  : : :pass:wc.c:20	(at logger.py:129) 
2019-03-02 02:01:55,982 [D]  : : :pass:wc.c:19	(at logger.py:129) 
2019-03-02 02:01:55,982 [D]  : : :pass:wc.c:18	(at logger.py:129) 
2019-03-02 02:01:55,982 [D]  : : :pass:wc.c:17	(at logger.py:129) 
2019-03-02 02:01:55,982 [D]  : : :pass:wc.c:16	(at logger.py:129) 
2019-03-02 02:01:55,982 [D]  : : :pass:wc.c:15	(at logger.py:129) 
2019-03-02 02:01:55,982 [D]  : : :pass:wc.c:14	(at logger.py:129) 
2019-03-02 02:01:55,982 [D]  : : :pass:wc.c:13	(at logger.py:129) 
2019-03-02 02:01:55,982 [D] -:C:c:WD_1:wc.c:12	(at logger.py:129) 
2019-03-02 02:01:55,982 [D] ┌:C:c:WD_2:wc.c:12	(at logger.py:129) 
2019-03-02 02:01:55,982 [D] └:C:c:WD_2:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:55,983 [D] ┌:F:n:WD_3:wc.c:12	(at logger.py:129) 
2019-03-02 02:01:55,983 [D] |:F:n:WD_3:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:55,983 [D] └:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,983 [D]  : : :pass:wc.c:11	(at logger.py:129) 
2019-03-02 02:01:55,983 [D]  : : :pass:wc.c:10	(at logger.py:129) 
2019-03-02 02:01:55,983 [D]  : : :pass:wc.c:9	(at logger.py:129) 
2019-03-02 02:01:55,983 [D]  : : :pass:wc.c:8	(at logger.py:129) 
2019-03-02 02:01:55,983 [D] -:F:n:WD_1:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:55,983 [D] ┌:F:n:WD_2:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:55,983 [D] └:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,983 [D] ┌:F:n:WD_3:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:55,983 [D] |:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,983 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,983 [D]  : : :pass:wc.c:6	(at logger.py:129) 
2019-03-02 02:01:55,983 [D]  : : :pass:wc.c:5	(at logger.py:129) 
2019-03-02 02:01:55,983 [D] -:F:n:WD_1:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,984 [D] ┌:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,984 [D] └:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,984 [D] ┌:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,984 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,984 [D] -:F:n:WD_1:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,984 [D] -:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,984 [D] -:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,984 [D]  : : :pass:wc.c:2	(at logger.py:129) 
2019-03-02 02:01:55,984 [D]  : : :pass:wc.c:1	(at logger.py:129) 
2019-03-02 02:01:55,984 [D] comp_cached_cnt:13	(at logger.py:134) 
2019-03-02 02:01:55,984 [D] compile_cnt:2	(at logger.py:134) 
2019-03-02 02:01:55,984 [D] execute_cnt:0	(at logger.py:134) 
2019-03-02 02:01:55,984 [D] fail_del_cnt:2	(at logger.py:134) 
2019-03-02 02:01:55,984 [D] iter_idx:5	(at logger.py:134) 
2019-03-02 02:01:55,984 [D] reuse_cnt:2	(at logger.py:134) 
2019-03-02 02:01:55,984 [D] succ_del_cnt:0	(at logger.py:134) 
2019-03-02 02:01:55,984 [D] time:0.030256271362304688	(at logger.py:134) 
2019-03-02 02:01:55,985 [D] deletion:43	(at logger.py:136) 
2019-03-02 02:01:55,985 [I] Iteration 5 finished	(at orbs.py:87) 
2019-03-02 02:01:55,985 [D] total_lines:48	(at logger.py:74) 
2019-03-02 02:01:55,985 [D] iteration_cnt:5	(at logger.py:75) 
2019-03-02 02:01:55,985 [D] comp_cached_cnt:24	(at logger.py:79) 
2019-03-02 02:01:55,985 [D] compile_cnt:145	(at logger.py:79) 
2019-03-02 02:01:55,985 [D] execute_cnt:18	(at logger.py:79) 
2019-03-02 02:01:55,985 [D] fail_del_cnt:11	(at logger.py:79) 
2019-03-02 02:01:55,985 [D] reuse_cnt:23	(at logger.py:79) 
2019-03-02 02:01:55,985 [D] succ_del_cnt:30	(at logger.py:79) 
2019-03-02 02:01:55,985 [D] time:2.9783878326416016	(at logger.py:80) 
2019-03-02 02:01:55,985 [D] deletion:43	(at logger.py:82) 
2019-03-02 02:01:55,985 [I] ORBS fin.	(at orbs.py:91) 
2019-03-02 02:01:55,986 [I] ===== END - RUN ==============================================	(at main.py:95) 
2019-03-02 02:01:55,986 [I] 	(at main.py:96) 
